,movie,year,imdb,metascore,votes,grossMillions,timeMin
0,Knives Out,2019,7.9,82.0,337202,165.36,130
1,Ford v Ferrari,2019,8.1,81.0,229395,117.62,152
2,Once Upon a Time... in Hollywood,2019,7.7,83.0,485817,142.5,161
3,Parasite,2019,8.6,96.0,438957,53.37,132
4,Joker,2019,8.5,59.0,819427,335.45,122
5,The Gentlemen,2019,7.9,51.0,155101,24.795,113
6,1917,2019,8.3,78.0,336848,159.23,119
7,Avengers: Endgame,2019,8.4,78.0,734503,858.37,181
8,Into the Wild,2007,8.1,73.0,555708,18.35,148
9,The Shawshank Redemption,1994,9.3,80.0,2257069,28.34,142
10,Inception,2010,8.8,74.0,1979973,292.58,148
11,Jojo Rabbit,2019,7.9,58.0,232731,0.35,108
12,The Godfather,1972,9.2,100.0,1557371,134.97,175
13,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1607862,315.54,178
14,Back to the Future,1985,8.5,87.0,1013330,210.61,116
15,Little Women,2019,7.9,91.0,112662,108.1,135
16,Interstellar,2014,8.6,74.0,1429345,188.02,169
17,The Dark Knight,2008,9.0,84.0,2223189,534.86,152
18,Watchmen,2009,7.6,56.0,487265,107.51,162
19,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,618199,317.58,152
20,The Silence of the Lambs,1991,8.6,85.0,1222451,130.74,118
21,The Wolf of Wall Street,2013,8.2,75.0,1126811,116.9,180
22,Call Me by Your Name,2017,7.9,93.0,195013,18.1,132
23,Thor: Ragnarok,2017,7.9,74.0,556921,315.06,130
24,Jaws,1975,8.0,87.0,531477,260.0,124
25,Alien,1979,8.4,89.0,762132,78.9,117
26,The Help,2011,8.1,62.0,416335,169.71,146
27,The Matrix,1999,8.7,73.0,1618649,171.48,136
28,Jurassic Park,1993,8.1,68.0,836014,402.45,127
29,Pulp Fiction,1994,8.9,94.0,1766243,107.93,154
30,Django Unchained,2012,8.4,81.0,1305929,162.81,165
31,Inglourious Basterds,2009,8.3,69.0,1218351,120.54,153
32,The Lighthouse,2019,7.6,83.0,111075,0.43,109
33,V for Vendetta,2005,8.2,62.0,1002318,70.51,132
34,The Princess Bride,1987,8.1,77.0,381724,30.86,98
35,Gladiator,2000,8.5,67.0,1296700,187.71,155
36,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,325501,190.24,117
37,Avengers: Infinity War,2018,8.4,68.0,783754,678.82,149
38,Mad Max: Fury Road,2015,8.1,90.0,847315,154.06,120
39,Boogie Nights,1997,7.9,85.0,231781,26.4,155
40,The Prestige,2006,8.5,66.0,1143506,53.09,130
41,Titanic,1997,7.8,75.0,1016698,659.33,194
42,Forrest Gump,1994,8.8,82.0,1739792,330.25,142
43,Gone Girl,2014,8.1,79.0,824700,167.77,149
44,Kingsman: The Secret Service,2014,7.7,60.0,575558,128.26,129
45,The Green Mile,1999,8.6,61.0,1100517,136.8,189
46,Zodiac,2007,7.7,78.0,436059,33.08,157
47,Se7en,1995,8.6,65.0,1389164,100.13,127
48,Fight Club,1999,8.8,66.0,1793296,37.03,139
49,Blade Runner 2049,2017,8.0,81.0,434456,92.05,164
50,Bohemian Rhapsody,2018,8.0,49.0,427780,216.43,134
51,The Irishman,2019,7.9,94.0,296454,24.795,209
52,The Goonies,1985,7.8,62.0,234325,61.5,114
53,Léon: The Professional,1994,8.5,64.0,998819,19.5,110
54,No Country for Old Men,2007,8.1,91.0,822327,74.28,122
55,Goodfellas,1990,8.7,90.0,981975,46.84,146
56,Skyfall,2012,7.7,81.0,617384,304.36,143
57,Mission: Impossible - Fallout,2018,7.7,86.0,275707,220.16,147
58,Do the Right Thing,1989,7.9,93.0,84184,27.55,120
59,The Dark Knight Rises,2012,8.4,78.0,1469468,448.14,164
60,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1592835,377.85,201
61,The Departed,2006,8.5,85.0,1149917,132.38,151
62,Get Out,2017,7.7,85.0,464994,176.04,104
63,Baby Driver,2017,7.6,86.0,415191,107.83,113
64,Batman Begins,2005,8.2,70.0,1268275,206.85,140
65,Gone with the Wind,1939,8.1,97.0,281154,198.68,238
66,Guardians of the Galaxy,2014,8.0,76.0,1016915,333.18,121
67,Apocalypse Now,1979,8.4,94.0,585499,83.47,147
68,Almost Famous,2000,7.9,90.0,245554,32.53,122
69,Raiders of the Lost Ark,1981,8.4,85.0,858916,248.16,115
70,Portrait of a Lady on Fire,2019,8.1,95.0,42919,24.795,122
71,Schindler's List,1993,8.9,94.0,1172293,96.9,195
72,The Fifth Element,1997,7.7,52.0,423149,63.54,126
73,Green Book,2018,8.2,69.0,331222,85.08,130
74,The Shining,1980,8.4,66.0,859452,44.02,146
75,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,996894,305.41,143
76,Taxi Driver,1976,8.3,94.0,696012,28.26,114
77,Saving Private Ryan,1998,8.6,91.0,1193259,216.54,169
78,The Godfather: Part II,1974,9.0,90.0,1088430,57.3,202
79,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,543878,389.81,136
80,Avatar,2009,7.8,83.0,1095728,760.51,162
